,,,,,,,,,,,
Year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
CAN total Load (MTA),238.436,511.766,135.654,546.023,187.235,440.397,565.44,370.848,149.865,255.803,418.282
SE,18.303,48.145,9.094,76.529,10.542,77.813,14.984,11.566,12.693,9.054,43.819
